DATE,GDPC1
2000-01-01,0.36445
2000-04-01,1.82058
2000-07-01,0.09977
2000-10-01,0.59436
2001-01-01,-0.32422
2001-04-01,0.62139
2001-07-01,-0.40035
2001-10-01,0.27731
2002-01-01,0.82823
2002-04-01,0.61550
2002-07-01,0.40353
2002-10-01,0.13066
2003-01-01,0.51672
2003-04-01,0.89338
2003-07-01,1.66690
2003-10-01,1.15405
2004-01-01,0.57292
2004-04-01,0.77874
2004-07-01,0.94125
2004-10-01,1.02203
2005-01-01,1.11088
2005-04-01,0.48660
2005-07-01,0.78562
2005-10-01,0.56793
2006-01-01,1.34867
2006-04-01,0.24558
2006-07-01,0.15046
2006-10-01,0.84371
2007-01-01,0.29360
2007-04-01,0.63843
2007-07-01,0.60231
2007-10-01,0.60964
2008-01-01,-0.40743
2008-04-01,0.57230
2008-07-01,-0.52689
2008-10-01,-2.18310
2009-01-01,-1.16572
2009-04-01,-0.16924
2009-07-01,0.36193
2009-10-01,1.06796
2010-01-01,0.50005
2010-04-01,0.96770
2010-07-01,0.77314
2010-10-01,0.51960
2011-01-01,-0.24092
2011-04-01,0.67805
2011-07-01,-0.03877
2011-10-01,1.12168
2012-01-01,0.81792
2012-04-01,0.45586
2012-07-01,0.17488
2012-10-01,0.10984
2013-01-01,0.86779
2013-04-01,0.13939
2013-07-01,0.79165
2013-10-01,0.71117
2014-01-01,-0.35011
2014-04-01,1.28413
2014-07-01,1.16496
2014-10-01,0.44899
2015-01-01,0.81331
2015-04-01,0.58000
2015-07-01,0.32337
2015-10-01,0.14623
2016-01-01,0.58918
2016-04-01,0.30239
2016-07-01,0.60112
2016-10-01,0.49689
2017-01-01,0.42966
2017-04-01,0.50379
2017-07-01,0.82749
2017-10-01,1.00566
2018-01-01,0.69265
2018-04-01,0.69734
2018-07-01,0.72204
2018-10-01,0.18178
2019-01-01,0.54271
2019-04-01,0.67301
2019-07-01,0.88997
2019-10-01,0.44305
2020-01-01,-1.17515
